time,watch_hr
2020-12-25T22:01:01.000Z,162
2020-12-25T22:01:07.000Z,162
2020-12-25T22:01:13.000Z,162
2020-12-25T22:01:20.000Z,162
2020-12-25T22:01:27.000Z,162
2020-12-25T22:01:34.000Z,162
2020-12-25T22:01:40.000Z,163
2020-12-25T22:01:47.000Z,162
2020-12-25T22:01:54.000Z,163
2020-12-25T22:02:01.000Z,164
2020-12-25T22:02:07.000Z,162
2020-12-25T22:02:13.000Z,163
2020-12-25T22:02:20.000Z,164
2020-12-25T22:02:27.000Z,162
2020-12-25T22:02:34.000Z,164
2020-12-25T22:02:39.000Z,162
2020-12-25T22:02:46.000Z,161
2020-12-25T22:02:48.000Z,158
2020-12-25T22:02:54.000Z,161
